Experiment Number, Parameters, Grapheme Decoder CER,Phoneme+Grapheme Decoder CER, Phoneme Decoder PER, Phoneme+Grapheme Decoder PER
93,vggbgrup_3_coverage_gru_3,35.8,33.4,21.1,21
94,vggbgrup_5_coverage_lstm_5,35,32.8,21.1,21.7
95,vggbgrup_5_coverage_gru_5,35.3,32.4,21.3,22
96,blstmp_1_coverage_location_lstm_1,42.7,39.5,24.9,25.8
97,blstmp_1_coverage_location_gru_1,42.4,40,27.5,26
98,blstmp_3_coverage_location_lstm_3,36.9,34.5,22.4,22.2
99,blstmp_3_coverage_location_gru_3,36.5,34,22.4,22.6
100,blstmp_5_coverage_location_lstm_5,35.6,33.1,21.9,22.2
101,blstmp_5_coverage_location_gru_5,37,33.2,21.6,22.1
102,bgrup_1_coverage_location_lstm_1,40.4,38.8,22.7,24.4
103,bgrup_1_coverage_location_gru_1,41.2,39.3,22.9,24.1
104,bgrup_3_coverage_location_lstm_3,34.7,32.8,20.2,20.2
105,bgrup_3_coverage_location_gru_3,35.2,32.7,20.5,20.3
106,bgrup_5_coverage_location_lstm_5,33.8,32.1,20.1,20.9
107,bgrup_5_coverage_location_gru_5,34.7,32.1,20.8,20.7
108,vggblstmp_1_coverage_location_lstm_1,39.5,38.2,21.7,22.1
109,vggblstmp_1_coverage_location_gru_1,38.5,36.6,22.5,22.1
110,vggblstmp_3_coverage_location_lstm_3,36.5,33.6,21.3,22
111,vggblstmp_3_coverage_location_gru_3,36.2,33.8,22,21.9
112,vggblstmp_5_coverage_location_lstm_5,37.3,35.3,23.4,23
113,vggblstmp_5_coverage_location_gru_5,37.8,33,27.7,22.2
114,vggbgrup_1_coverage_location_lstm_1,38.5,36.5,21.7,22.1
115,vggbgrup_1_coverage_location_gru_1,38.4,36.5,21.6,33
116,vggbgrup_3_coverage_location_lstm_3,36.1,21.4,20.3,20.6
117,vggbgrup_3_coverage_location_gru_3,35.8,33.2,20.9,21.6
118,vggbgrup_5_coverage_location_lstm_5,35.7,32.6,20.7,20.7
119,vggbgrup_5_coverage_location_gru_5,33.9,32.2,55.9,20.9
