1,blstmp_3_dot_gru_3,39.3,36.8,21.7,23.6
2,blstmp_3_add_gru_3,38.4,34.6,29.1,22.5
3,blstmp_3_location_gru_3,36.8,33.9,22.6,22.3
4,blstmp_3_coverage_gru_3,38.1,34.5,23.5,22.9
5,blstmp_3_coverage_location_gru_3,36.5,34,22.4,22.6
6,blstmp_3_location2d_gru_3,36.4,0,22.1,0
7,blstmp_3_location_recurrent_gru_3,37.7,34.7,22.2,22.2
8,blstmp_3_multi_head_dot_gru_3,38,35.3,23.4,23.1
9,blstmp_3_multi_head_add_gru_3,39.9,0,31.9,0
10,blstmp_3_multi_head_loc_gru_3,38.3,0,22.2,0
11,blstmp_3_multi_head_multi_res_loc_gru_3,0,0,32,0
